FBgn_ID,Gene_name,FBgn_alias,CG_ID,CG_alias,tau,Age_classification
FBgn0000046,Act87E,FBgn0038154,CG18290,,0.568,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian"
FBgn0000047,Act88F,,CG5178,,0.809,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian"
FBgn0000052,ade2,,CG9127,,0.451,Cellular_Organisms
FBgn0000053,ade3,"FBgn0051628,FBgn0063628",CG31628,CG8761,0.56,Cellular_Organisms
FBgn0000055,Adh,"FBgn0016704,FBgn0052954",CG3481,CG32954,0.815,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian"
FBgn0000056,Adhr,FBgn0052954,CG3484,CG32954,0.991,Diptera
FBgn0000057,adp,"FBgn0034305,FBgn0061182",CG5124,,0.51,Eukaryota
FBgn0000061,al,,CG3935,,0.809,Bilateria
FBgn0000063,Mps1,FBgn0038534,CG7643,,0.356,Eukaryota
FBgn0000064,Ald,FBgn0064914,CG6058,,0.398,Diptera
FBgn0000071,Ama,FBgn0015757,CG2198,,0.609,Eukaryota
FBgn0000075,amd,FBgn0032757,CG10501,CG17345,0.814,Bilateria
FBgn0000077,amx,FBgn0028503,CG12127,,0.38,Cellular_Organisms
FBgn0000078,Amy-d,FBgn0014456,CG17876,,0.795,mel-group
FBgn0000079,Amy-p,"FBgn0014457,FBgn0035652,FBgn0042197",CG18730,CG18640,0.79,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian"
FBgn0000083,AnxB9,,CG5730,,0.199,Diptera
FBgn0000084,AnxB10,,CG9579,,0.407,Eukaryota
FBgn0000092,CG2650,,CG2650,,0.867,Pan-drosophilid
FBgn0000094,Anp,,CG1361,,0.912,mel-subgroup
FBgn0000097,aop,"FBgn0003123,FBgn0005623,FBgn0026827",CG3166,,0.397,Bilateria
FBgn0000100,RpLP0,FBgn0010752,CG7490,,0.158,Cellular_Organisms
FBgn0000108,Appl,FBgn0028498,CG7727,,0.716,Bilateria
FBgn0000109,Aprt,"FBgn0035288,FBgn0063099",CG18315,,0.328,Cellular_Organisms
FBgn0000114,aret,"FBgn0015367,FBgn0045095,FBgn0045436,FBgn0051762,FBgn0063197",CG31762,CG6319,0.705,Bilateria
FBgn0000115,Arl1,"FBgn0064936,FBgn0016902",CG6025,,0.316,Eukaryota
FBgn0000116,Argk,"FBgn0035958,FBgn0052031",CG32031,"CG4929,CG5173",0.465,Diptera
FBgn0000117,arm,"FBgn0029069,FBgn0040191,FBgn0045040",CG11579,,0.242,Eukaryota
FBgn0000119,arr,"FBgn0022055,FBgn0025707,FBgn0033841,FBgn0040307",CG5912,,0.314,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian"
FBgn0000120,Arr1,,CG5711,,0.824,Diptera
FBgn0000121,Arr2,,CG5962,,0.812,Diptera
FBgn0000137,ase,,CG3258,,0.898,Pan-drosophilid
FBgn0000139,ash2,FBgn0060470,CG6677,,0.436,Eukaryota
FBgn0000140,asp,"FBgn0014939,FBgn0062123",CG6875,,0.532,Eukaryota
FBgn0000146,aub,"FBgn0010310,FBgn0024835",CG6137,,0.565,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian"
FBgn0000147,aurA,,CG3068,,0.512,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian"
FBgn0000150,awd,"FBgn0011322,FBgn0024573,FBgn0025960,FBgn0046351,FBgn0046352,FBgn0062949,FBgn0064938",CG2210,,0.212,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian"
FBgn0000152,Axs,,CG9703,,0.355,Eukaryota
FBgn0000153,b,"FBgn0005622,FBgn0020605",CG7811,,0.729,Diptera
FBgn0000157,Dll,"FBgn0010474,FBgn0026807,FBgn0063133",CG3629,,0.755,Bilateria
FBgn0000158,bam,,CG10422,,0.754,Pan-drosophilid
FBgn0000163,baz,"FBgn0040145,FBgn0042632",CG5055,,0.471,Bilateria
FBgn0000166,bcd,"FBgn0040059,FBgn0014130,FBgn0014131,FBgn0015909,FBgn0015910,FBgn0015911,FBgn0015912",CG1034,,0.838,Pan-drosophilid
FBgn0000173,ben,FBgn0066817,CG18319,,0.291,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian"
FBgn0000179,bi,"FBgn0002996,FBgn0003183,FBgn0004104",CG3578,,0.773,Bilateria
FBgn0000180,bib,,CG4722,,0.714,Eukaryota
FBgn0000181,bic,"FBgn0002068,FBgn0004676,FBgn0021942,FBgn0027918",CG3644,,0.202,Eukaryota
FBgn0000182,BicC,,CG4824,,0.958,Bilateria
FBgn0000183,BicD,FBgn0025237,CG6605,,0.311,Bilateria
FBgn0000206,boss,"FBgn0024699,FBgn0024700",CG8285,,0.852,Diptera
FBgn0000212,brm,FBgn0036554,CG5942,CG18438,0.339,Eukaryota
FBgn0000216,Brd,,CG3096,,0.869,Pan-drosophilid
FBgn0000221,brn,FBgn0005387,CG4934,,0.559,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian"
FBgn0000227,Bsg25A,,CG12205,,0.966,Pan-drosophilid
FBgn0000228,Bsg25D,,CG14025,,0.55,Diptera
FBgn0000229,bsk,"FBgn0015248,FBgn0032199",CG5680,,0.262,Eukaryota
FBgn0000233,btd,,CG12653,,0.88,Eukaryota
FBgn0000239,bur,"FBgn0010666,FBgn0032928,FBgn0062173,FBgn0062180",CG9242,,0.26,Cellular_Organisms
FBgn0000241,bw,,CG17632,,0.502,Diptera
FBgn0000244,by,"FBgn0021752,FBgn0037704,FBgn0047068",CG9379,,0.479,Bilateria
FBgn0000246,c(3)G,"FBgn0038362,FBgn0063641",CG17604,,0.546,mel-group
FBgn0000247,ca,"FBgn0039699,FBgn0039700,FBgn0039701,FBgn0051037",CG31037,"CG18134,CG7799,CG18133",0.374,Diptera
FBgn0000250,cact,FBgn0013453,CG5848,,0.309,Bilateria
FBgn0000251,cad,FBgn0082204,CG1759,,0.685,Bilateria
FBgn0000253,Cam,"FBgn0010559,FBgn0015611,FBgn0027677",CG8472,,0.236,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian"
FBgn0000256,capu,FBgn0031576,CG3399,CG15420,0.672,Eukaryota
FBgn0000257,car,"FBgn0027357,FBgn0040160",CG12230,,0.306,Eukaryota
FBgn0000259,CkIIbeta,FBgn0027953,CG15224,,0.292,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian"
FBgn0000261,Cat,"FBgn0011460,FBgn0026841",CG6871,,0.335,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian"
FBgn0000273,Pka-C1,"FBgn0000353,FBgn0010695",CG4379,,0.268,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian"
FBgn0000274,Pka-C2,,CG12066,,0.898,Diptera
FBgn0000276,CecA1,,CG1365,,0.703,Pan-drosophilid
FBgn0000277,CecA2,,CG1367,,0.744,Pan-drosophilid
FBgn0000278,CecB,,CG1878,,0.798,Pan-drosophilid
FBgn0000279,CecC,FBgn0062945,CG1373,,0.67,Pan-drosophilid
FBgn0000283,Cp190,FBgn0014463,CG6384,,0.303,Pan-drosophilid
FBgn0000286,Cf2,FBgn0062475,CG11924,,0.478,Pan-drosophilid
FBgn0000287,salr,,CG4881,,0.831,Diptera
FBgn0000289,cg,"FBgn0010639,FBgn0020273,FBgn0033908",CG8367,,0.214,Diptera
FBgn0000299,Cg25C,,CG4145,,0.456,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian"
FBgn0000303,ChAT,FBgn0064131,CG12345,,0.764,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian"
FBgn0000307,chif,FBgn0028842,CG5813,CG5817,0.327,Bilateria
FBgn0000308,chic,FBgn0013731,CG9553,,0.202,Eukaryota
FBgn0000316,cin,FBgn0026665,CG2945,,0.252,Cellular_Organisms
FBgn0000317,ck,"FBgn0015260,FBgn0015868,FBgn0020027,FBgn0044341",CG7595,,0.349,Diptera
FBgn0000318,cl,"FBgn0031709,FBgn0063070",CG11024,,0.312,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian"
FBgn0000319,Chc,"FBgn0014972,FBgn0028268",CG9012,,0.17,Eukaryota
FBgn0000320,eya,"FBgn0000623,FBgn0004612,FBgn0063692",CG9554,,0.827,Eukaryota
FBgn0000326,clt,"FBgn0027353,FBgn0034640",CG9858,,0.432,Bilateria
FBgn0000330,cm,"FBgn0020512,FBgn0024949",CG3035,CG32731,0.273,Eukaryota
FBgn0000337,cn,,CG1555,,0.846,Cellular_Organisms
FBgn0000339,cni,FBgn0020601,CG5855,,0.416,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian"
FBgn0000346,comt,"FBgn0011678,FBgn0030463",CG1618,,0.567,Eukaryota
FBgn0000351,cort,FBgn0031847,CG11330,,0.605,Pan-drosophilid
FBgn0000352,cos,"FBgn0014275,FBgn0021829",CG1708,,0.371,Diptera
FBgn0000355,Cp15,,CG6519,,0.861,Pan-drosophilid
FBgn0000356,Cp16,,CG6533,,0.911,Pan-drosophilid
FBgn0000357,Cp18,FBgn0004941,CG6517,,0.885,Pan-drosophilid
FBgn0000358,Cp19,,CG6524,,0.913,Pan-drosophilid
FBgn0000359,Cp36,FBgn0000428,CG1478,,0.89,Pan-drosophilid
FBgn0000360,Cp38,FBgn0004940,CG11213,,0.884,Pan-drosophilid
FBgn0000370,crc,"FBgn0020511,FBgn0032941",CG8669,,0.232,Bilateria
FBgn0000376,crm,,CG2714,,0.543,Bilateria
FBgn0000377,crn,"FBgn0004044,FBgn0042162",CG3193,CG18842,0.361,Eukaryota
FBgn0000382,csw,"FBgn0004637,FBgn0026663,FBgn0029599,FBgn0066824,FBgn0066826,FBgn0066827",CG3954,,0.386,Bilateria
FBgn0000384,cta,FBgn0058010,CG17678,CG40010,0.217,Bilateria
FBgn0000392,cup,,CG11181,,0.995,Pan-drosophilid
FBgn0000394,cv,FBgn0029790,CG12410,,0.299,Diptera
FBgn0000395,cv-2,FBgn0034625,CG15671,,0.451,Diptera
FBgn0000404,CycA,"FBgn0010826,FBgn0011353,FBgn0044754",CG5940,,0.459,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian"
FBgn0000405,CycB,,CG3510,,0.522,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian"
FBgn0000406,Cyt-b5-r,,CG13279,,0.627,Diptera
FBgn0000411,D,"FBgn0010271,FBgn0010273,FBgn0010274,FBgn0010275,FBgn0010276,FBgn0013641,FBgn0014030",CG5893,,0.781,Diptera
FBgn0000412,D1,,CG9745,,0.243,Pan-drosophilid
FBgn0000414,Dab,,CG9695,,0.437,Bilateria
FBgn0000416,Sap-r,"FBgn0026286,FBgn0027566",CG12070,,0.274,Eukaryota
FBgn0000422,Ddc,FBgn0022245,CG10697,,0.71,Diptera
FBgn0000426,SmF,FBgn0063188,CG16792,,0.316,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian"
FBgn0000427,1-Dec,FBgn0000645,CG2175,,0.887,Pan-drosophilid
FBgn0000439,Dfd,,CG2189,,0.76,Pan-drosophilid
FBgn0000442,Pkg21D,,CG3324,,0.783,Diptera
FBgn0000447,Dhod,FBgn0024585,CG9741,,0.476,Cellular_Organisms
FBgn0000448,Hr46,"FBgn0019719,FBgn0026805,FBgn0033496",CG33183,"CG12208,CG11823",0.909,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian"
FBgn0000449,dib,FBgn0035492,CG12028,,0.688,Pan-drosophilid
FBgn0000451,ect,"FBgn0010018,FBgn0036073,FBgn0036074",CG6611,CG11965,0.838,Pan-drosophilid
FBgn0000454,Dip-B,FBgn0038184,CG9285,,0.306,Bilateria
FBgn0000455,Dip-C,FBgn0038040,CG5663,,0.412,Cellular_Organisms
FBgn0000459,disco,,CG9908,,0.698,Pan-drosophilid
FBgn0000463,Dl,"FBgn0011411,FBgn0062130",CG3619,,0.689,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian"
FBgn0000464,Lar,FBgn0010057,CG10443,,0.722,Eukaryota
FBgn0000473,Cyp6a2,FBgn0010312,CG9438,,0.738,Bilateria
FBgn0000477,DNaseII,FBgn0038563,CG7780,,0.63,Eukaryota
FBgn0000479,dnc,"FBgn0024972,FBgn0029653,FBgn0029654,FBgn0029655,FBgn0052498",CG32498,"CG10797,CG10791,CG14267,CG14268,CG10792",0.406,Eukaryota
FBgn0000482,dor,,CG3093,,0.369,Eukaryota
FBgn0000489,Pka-C3,FBgn0004631,CG6117,,0.636,mel-group
FBgn0000490,dpp,FBgn0010065,CG9885,,0.548,Bilateria
FBgn0000492,Dr,"FBgn0002849,FBgn0015510,FBgn0020528",CG1897,,0.651,Bilateria
FBgn0000499,dsh,"FBgn0027244,FBgn0042225",CG18361,CG1720,0.532,Bilateria
FBgn0000500,Dsk,"FBgn0037214,FBgn0062936",CG18090,,0.808,Pan-drosophilid
FBgn0000504,dsx,,CG11094,,0.625,Diptera
FBgn0000520,dwg,"FBgn0003974,FBgn0024976,FBgn0026052",CG2711,CG2714,0.459,Pan-drosophilid
FBgn0000524,dx,FBgn0026856,CG3929,,0.43,Bilateria
FBgn0000527,e,,CG3331,,0.793,Cellular_Organisms
FBgn0000529,bsh,FBgn0010392,CG10604,,0.843,Bilateria
FBgn0000533,ea,,CG4920,,0.622,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian"
FBgn0000535,eag,,CG10952,,0.754,Eukaryota
FBgn0000536,eas,"FBgn0043963,FBgn0044449",CG3525,,0.348,Eukaryota
FBgn0000541,E(bx),"FBgn0013553,FBgn0016686,FBgn0035116,FBgn0035117,FBgn0035118,FBgn0061199",CG32346,"CG17135,CG10894,CG7022,CG32478",0.244,Bilateria
FBgn0000542,ec,FBgn0025376,CG2904,,0.654,Diptera
FBgn0000543,ecd,FBgn0035324,CG5714,,0.396,Eukaryota
FBgn0000546,EcR,"FBgn0011242,FBgn0021762,FBgn0033064,FBgn0062534",CG1765,CG8347,0.415,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian"
FBgn0000547,ed,"FBgn0022256,FBgn0031582,FBgn0031583,FBgn0031584",CG12676,"CG16842,CG15424",0.419,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian"
FBgn0000551,Edg78E,,CG7673,,0.933,Pan-drosophilid
FBgn0000552,Edg84A,FBgn0004776,CG2345,,0.972,Pan-drosophilid
FBgn0000557,Ef1alpha100E,,CG1873,,0.643,Cellular_Organisms
FBgn0000559,EF2,,CG2238,,0.1,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian"
FBgn0000560,eg,FBgn0000563,CG7383,,0.875,Pan-drosophilid
FBgn0000562,egl,,CG4051,,0.248,Bilateria
FBgn0000564,Eh,FBgn0026855,CG5400,,0.898,Diptera
FBgn0000565,Eip71CD,FBgn0026825,CG7266,,0.476,Cellular_Organisms
FBgn0000566,Eip55E,,CG5345,,0.481,Cellular_Organisms
FBgn0000567,Eip74EF,"FBgn0011459,FBgn0026806,FBgn0036739,FBgn0052180",CG32180,"CG6273,CG6285",0.559,Bilateria
FBgn0000568,Eip75B,"FBgn0010914,FBgn0011342,FBgn0011386,FBgn0011430,FBgn0011438,FBgn0013628,FBgn0043377,FBgn0046398,FBgn0046399,FBgn0047288",CG8127,,0.471,Bilateria
FBgn0000575,emc,"FBgn0010839,FBgn0010869,FBgn0011251,FBgn0011371,FBgn0013464",CG1007,,0.288,Diptera
FBgn0000576,ems,FBgn0000145,CG2988,,0.826,Pan-drosophilid
FBgn0000577,en,"FBgn0003492,FBgn0014157,FBgn0016969",CG9015,,0.812,Bilateria
FBgn0000578,ena,"FBgn0010503,FBgn0063438",CG15112,,0.422,Bilateria
FBgn0000579,Eno,"FBgn0045789,FBgn0045874",CG17654,,0.342,Cellular_Organisms
FBgn0000581,E(Pc),FBgn0015874,CG7776,,0.301,Eukaryota
FBgn0000588,esc,,CG14941,,0.5,Diptera
FBgn0000591,E(spl)m8-HLH,,CG8365,,0.89,Pan-drosophilid
FBgn0000592,Est-6,FBgn0017620,CG6917,,0.807,Bilateria
FBgn0000594,Est-P,FBgn0017620,CG17148,,0.781,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian"
FBgn0000606,eve,"FBgn0014159,FBgn0014984,FBgn0015483,FBgn0017400,FBgn0019712,FBgn0019718,FBgn0019720,FBgn0019721,FBgn0019816,FBgn0023205",CG2328,,0.949,Bilateria
FBgn0000611,exd,"FBgn0010248,FBgn0025242",CG8933,,0.177,Bilateria
FBgn0000615,exu,,CG8994,,0.674,Pan-drosophilid
FBgn0000617,e(y)1,"FBgn0000620,FBgn0011302",CG6474,,0.4,Eukaryota
FBgn0000618,e(y)2,FBgn0030315,CG15191,,0.301,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian"
FBgn0000625,eyg,FBgn0011647,CG10488,,0.846,Bilateria
FBgn0000629,E(z),FBgn0004710,CG6502,,0.302,Eukaryota
FBgn0000633,fas,FBgn0010603,CG17716,,0.704,Bilateria
FBgn0000635,Fas2,"FBgn0026682,FBgn0027230,FBgn0028323,FBgn0040201,FBgn0040202",CG3665,,0.378,Bilateria
FBgn0000636,Fas3,,CG5803,,0.539,Diptera
FBgn0000639,Fbp1,,CG17285,,0.786,Pan-drosophilid
FBgn0000640,Fbp2,,CG3763,,0.784,Eukaryota
FBgn0000644,Fcp3C,FBgn0041573,CG4015,,0.8,Pan-drosophilid
FBgn0000658,fj,,CG10917,,0.75,Bilateria
FBgn0000659,fkh,FBgn0015292,CG10002,,0.641,Bilateria
FBgn0000662,fl(2)d,FBgn0028976,CG6315,,0.243,Eukaryota
FBgn0000667,Actn,,CG4376,,0.446,Eukaryota
FBgn0000709,fliI,FBgn0001732,CG1484,,0.4,Bilateria
FBgn0000711,flw,"FBgn0003131,FBgn0029072,FBgn0030197,FBgn0030198,FBgn0066854",CG2096,CG15305,0.346,Eukaryota
FBgn0000715,FMRFa,,CG2346,,0.839,Bilateria
FBgn0000719,fog,"FBgn0069907,FBgn0069908,FBgn0069909",CG9559,"CR41108,CR41109,CR41110",0.354,Pan-drosophilid
FBgn0000721,for,"FBgn0000443,FBgn0010629,FBgn0031555,FBgn0044607,FBgn0063202,FBgn0066013",CG10033,,0.318,Diptera
FBgn0000723,FER,FBgn0022798,CG8874,,0.386,Bilateria
FBgn0000808,gd,,CG1505,,0.68,Diptera
FBgn0000810,fs(1)K10,FBgn0029607,CG3218,,0.303,Pan-drosophilid
FBgn0000826,png,FBgn0024363,CG11420,,0.773,Cellular_Organisms
FBgn0000927,fs(1)Ya,,CG2707,,0.83,Pan-drosophilid
FBgn0000928,fs(1)Yb,"FBgn0000897,FBgn0024974",CG2706,,0.667,Pan-drosophilid
FBgn0000964,tj,"FBgn0020276,FBgn0032786",CG10034,,0.895,Bilateria
FBgn0000996,dup,"FBgn0004160,FBgn0022220,FBgn0034016,FBgn0063791",CG8171,,0.496,Eukaryota
FBgn0001075,ft,"FBgn0002120,FBgn0014266",CG3352,,0.706,Diptera
FBgn0001077,ftz,FBgn0014176,CG2047,,0.956,Pan-drosophilid
FBgn0001078,ftz-f1,"FBgn0010807,FBgn0040788",CG4059,CG13378,0.619,Bilateria
FBgn0001079,fu,,CG6551,,0.453,Eukaryota
FBgn0001083,fw,,CG1500,,0.775,Bilateria
FBgn0001084,fy,,CG13396,,0.637,Bilateria
FBgn0001085,fz,"FBgn0036418,FBgn0036420",CG17697,CG3646,0.387,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian"
FBgn0001086,fzy,,CG4274,,0.421,Eukaryota
FBgn0001087,g,"FBgn0001800,FBgn0030516,FBgn0030517",CG10986,CG11197,0.275,Eukaryota
FBgn0001089,Gal,FBgn0031761,CG9092,,0.524,Diptera
FBgn0001090,bnb,,CG7088,,0.754,Pan-drosophilid
FBgn0001091,Gapdh1,FBgn0043822,CG12055,,0.397,mel-subgroup
FBgn0001092,Gapdh2,,CG8893,,0.271,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian"
FBgn0001098,Gdh,,CG5320,,0.349,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian"
FBgn0001099,gdl,"FBgn0053088,FBgn0053756",CG33756,"CG33088,CG7268",0.897,Diptera
FBgn0001104,Galphai,,CG10060,,0.397,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian"
FBgn0001105,Gbeta13F,,CG10545,,0.203,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian"
FBgn0001108,DCTN1-p150,,CG9206,,0.257,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian"
FBgn0001112,Gld,,CG1152,,0.801,Diptera
FBgn0001114,Glt,,CG9280,,0.605,Pan-drosophilid
FBgn0001120,gnu,FBgn0036453,CG5272,,0.828,Pan-drosophilid
FBgn0001122,Galphao,FBgn0026838,CG2204,,0.476,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Eukaryota by ProteinHistorian"
FBgn0001123,Galphas,,CG2835,,0.218,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian"
FBgn0001124,Got1,"FBgn0034079,FBgn0046303",CG8430,,0.34,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian"
FBgn0001125,Got2,FBgn0031380,CG4233,,0.309,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian"
FBgn0001128,Gpdh,,CG9042,,0.478,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian"
FBgn0001133,grau,"FBgn0034571,FBgn0053133",CG33133,CG3282,0.403,Diptera
FBgn0001134,Grd,,CG7446,,0.685,Bilateria
FBgn0001137,grk,,CG17610,,0.356,Pan-drosophilid
FBgn0001138,grn,"FBgn0004213,FBgn0015228,FBgn0019991",CG9656,,0.761,Bilateria
FBgn0001139,gro,"FBgn0019999,FBgn0020008,FBgn0023439,FBgn0043006,FBgn0043009,FBgn0062049",CG8384,,0.293,Bilateria
FBgn0001142,Gs1,FBgn0003695,CG2718,,0.434,Eukaryota
FBgn0001145,Gs2,,CG1743,,0.494,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian"
FBgn0001147,gsb-n,,CG2692,,0.858,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian"
FBgn0001148,gsb,,CG3388,,0.912,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian"
FBgn0001149,GstD1,FBgn0010045,CG10045,,0.289,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian"
FBgn0001150,gt,,CG7952,,0.895,Bilateria
FBgn0001168,h,"FBgn0011517,FBgn0019807,FBgn0019998",CG6494,,0.342,Pan-drosophilid
FBgn0001169,H,,CG5460,,0.341,Pan-drosophilid
FBgn0001170,H2.0,,CG11607,,0.844,Pan-drosophilid
FBgn0001174,halo,FBgn0031346,CG7428,,0.954,Pan-drosophilid
FBgn0001179,hay,"FBgn0004376,FBgn0015830",CG8019,,0.322,Cellular_Organisms
FBgn0001180,hb,FBgn0015224,CG9786,,0.829,Bilateria
FBgn0001185,her,FBgn0005174,CG4694,,0.26,Pan-drosophilid
FBgn0001186,Hex-A,FBgn0030140,CG3001,,0.329,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Cellular_Organisms by ProteinHistorian"
FBgn0001187,Hex-C,FBgn0034003,CG8094,,0.712,Cellular_Organisms
FBgn0001189,hfw,FBgn0023532,CG3095,,0.291,Diptera
FBgn0001197,His2Av,FBgn0010859,CG5499,,0.282,Eukaryota
FBgn0001202,hook,,CG10653,,0.193,Eukaryota
FBgn0001206,Hmr,FBgn0027511,CG1619,,0.508,Pan-drosophilid
FBgn0001208,Hn,"FBgn0003737,FBgn0004089,FBgn0005770,FBgn0024922",CG7399,,0.662,Diptera
FBgn0001215,Hrb98DE,"FBgn0003056,FBgn0014945",CG9983,,0.31,"Old multi-gene family, likely CellOrg/Euk/Bil, assigned to Bilateria by ProteinHistorian"
FBgn0001216,Hsc70-1,FBgn0064802,CG8937,,0.833,Pan-drosophilid
FBgn0001217,Hsc70-2,,CG7756,,0.872,Bilateria
FBgn0001218,Hsc70-3,"FBgn0027308,FBgn0027310,FBgn0028286,FBgn0028330,FBgn0029049,FBgn0030335,FBgn0040174,FBgn0044787",CG4147,CG1579,0.321,Eukaryota
FBgn0001220,Hsc70-5,FBgn0022196,CG8542,,0.284,Cellular_Organisms
FBgn0001222,Hsf,"FBgn0010529,FBgn0020929",CG5748,,0.256,Eukaryota
