E12-24h	E2-10h	ES1	ES2	ES3	ES4	ES5	KC167	L3	S2	consInfo	embLow	l3Low	embMedian	l3Median
miR-1003-3p/1004-3p	887.63	409.036666666667	406.192	76.172	293.27	111.1	6.015	57.275	669.316	19.12	1	TRUE	TRUE	TRUE	TRUE
miR-1003-5p	38.59	18.5166666666667	1.664	3.314	0.478	0.6325	1.3175	27.14	12.73	50.73	0	TRUE	TRUE	FALSE	FALSE
miR-1004-5p	0	0.91	0	0	0	0	0	0	1.218	0	0	FALSE	FALSE	FALSE	FALSE
miR-1006-5p	0	4.19666666666667	0	1.29	3.096	0	0.92	4.835	2.992	12.5	0	FALSE	FALSE	FALSE	FALSE
miR-1007-3p	0	0.416666666666667	1.324	0.126	0	0	0	11.04	3.592	2.94	1	FALSE	FALSE	FALSE	FALSE
miR-1007-5p	9.65	0.0366666666666667	0	0	0	0	0	0	1.586	0	0	FALSE	FALSE	FALSE	FALSE
miR-1008-3p	183.31	25.2733333333333	0.442	0	0	0	0	27.825	50.854	8.33	0	TRUE	TRUE	FALSE	FALSE
miR-1008-5p/2279-5p	19.3	99.48	87.732	108.976	29.132	66.02	140.4	18.19	23.984	22.06	0	TRUE	TRUE	FALSE	FALSE
miR-1009-3p	19.3	27.4633333333333	9.284	4.342	1.812	0.26	0	0.98	99.446	0	0	TRUE	TRUE	FALSE	FALSE
miR-1010-3p	299.09	595.826666666667	3597.098	870.106	2604.01	558.205	81.0375	33.825	411.432	1.23	1	TRUE	TRUE	TRUE	TRUE
miR-1010-5p	299.09	101.97	10.92	2.918	22.74	1.8925	1.5975	12.765	136.904	0	0	TRUE	TRUE	TRUE	TRUE
miR-1011-3p	19.3	2.37	0	0	0	0	0	0	0.382	0	1	FALSE	FALSE	FALSE	FALSE
miR-1012-3p	115.78	78.3133333333333	353.468	73.744	292.636	73.965	14.06	17.235	400.228	12.5	0	TRUE	TRUE	FALSE	TRUE
miR-1012-5p	67.54	66.1366666666667	123.698	32.812	99.178	64.86	15.59	42.265	387.126	38.48	0	TRUE	TRUE	FALSE	TRUE
miR-1013-3p	19.3	97.8866666666667	97.796	24.34	83.622	36.1675	26.51	73.79	16.262	27.2	0	TRUE	TRUE	FALSE	FALSE
miR-1014-3p	0	0	0	0	0	0	0	0.18	1.474	0	0	FALSE	FALSE	FALSE	FALSE
miR-1014-5p	0	0.0733333333333333	2.424	0.156	0	0	0	0	61.75	0	0	FALSE	TRUE	FALSE	FALSE
miR-1015-3p	0	1.12666666666667	0	0	0	0	0.4	0.36	2.24	0.25	0	FALSE	FALSE	FALSE	FALSE
miR-1016-3p	0	0.253333333333333	0	0	0	0	0	0	0.244	0	0	FALSE	FALSE	FALSE	FALSE
miR-1016-5p	0	0.37	4.974	1.954	1.72	1.9475	0.2975	6.175	0.408	11.76	0	FALSE	FALSE	FALSE	FALSE
miR-1017-3p	356.98	1.71	1.138	0	0	0	0	0	31.96	0	1	FALSE	TRUE	FALSE	FALSE
miR-11-5p	250.85	52.61	138.106	518.588	190.866	302.915	873.005	104.315	222.744	99.75	0	TRUE	TRUE	FALSE	TRUE
miR-12-3p	192.96	147.053333333333	0	0	0	0.0875	0.2225	4.92	27.124	0.49	0	TRUE	TRUE	TRUE	FALSE
miR-124-3p	162677.16	5262.2	2.594	0.184	0	0	0	0.18	8755.642	0	1	TRUE	TRUE	TRUE	TRUE
miR-124-5p	1244.61	841.08	0	2.356	0	1.5725	1.05	0	300.176	0	0	TRUE	TRUE	TRUE	TRUE
miR-125-3p	0	1.5	0	0	0	0	0	1.375	81.582	0	0	FALSE	TRUE	FALSE	FALSE
miR-125-5p	250.85	5.39333333333333	32.746	10.074	101.488	0.715	3.765	29.53	8227.21	0.25	1	FALSE	TRUE	FALSE	TRUE
miR-133-3p	3328.61	276.303333333333	117.452	2.786	15.78	9.3025	0	0.22	389.57	0.25	1	TRUE	TRUE	TRUE	TRUE
miR-133-5p	212.26	72.0666666666667	0	0	0	0	0.2975	0.18	30.88	0	0	TRUE	TRUE	FALSE	FALSE
miR-137-3p	385.93	14.2433333333333	20.218	0.88	29.84	0	0.1475	83.215	32.236	0.98	1	TRUE	TRUE	FALSE	FALSE
miR-137-5p	19.3	6.77666666666667	0	0	0	0	0	1.35	2.338	0	0	FALSE	FALSE	FALSE	FALSE
miR-13a-5p	86.83	39.7	0	12.526	4.3	7.535	49.685	0.11	3.054	0	0	TRUE	FALSE	FALSE	FALSE
miR-13b-1-5p	38.59	61.4266666666667	1.138	109.856	37.736	69.1425	177.33	0.18	5.56	0	0	TRUE	FALSE	FALSE	FALSE
miR-13b-2-5p	115.78	1078.07333333333	43.844	54.478	28.72	21.785	21.495	131.305	375.16	330.13	0	TRUE	TRUE	TRUE	TRUE
miR-14-3p	156174.32	8468.01666666667	81195.156	20441.992	57602.468	18771.3125	1400.2975	3515.305	38867.092	2082.01	1	TRUE	TRUE	TRUE	TRUE
miR-14-5p	1215.66	470.11	57.692	21.234	20.086	33.3175	10.85	93.68	116.466	229.4	0	TRUE	TRUE	TRUE	TRUE
miR-184-3p	29706.6	38687.4833333333	100054.568	29407.852	75440.574	67566.5275	24587.3175	220814.195	28387.824	145011.49	1	TRUE	TRUE	TRUE	TRUE
miR-184-5p	376.28	225.576666666667	30.874	8	16.32	8.985	11.02	15.445	52.768	90.93	0	TRUE	TRUE	TRUE	FALSE
miR-190-3p	154.37	45.9566666666667	14.94	5.162	18.35	6.12	3.3725	16.815	36.526	20.83	0	TRUE	TRUE	FALSE	FALSE
miR-190-5p	1485.81	1436.34	1740.952	364.538	1012.796	253.7825	83.24	12.685	800.514	4.17	1	TRUE	TRUE	TRUE	TRUE
miR-193-3p	19.3	22.92	0	0	0	0	0	0	24.224	0	1	TRUE	TRUE	FALSE	FALSE
miR-193-5p	0	4.85666666666667	1.694	0.156	0	0.26	0.2975	3.35	0.208	0.49	0	FALSE	FALSE	FALSE	FALSE
miR-210-3p.1	212.26	7.73666666666667	0	0	0	0	0	0.29	648.56	0	1	FALSE	TRUE	FALSE	TRUE
miR-210-3p.2	212.26	7.73666666666667	0	0	0	0	0	0.29	648.56	0	1	FALSE	TRUE	FALSE	TRUE
miR-210-5p	115.78	78.92	0	0	0	0	0.1725	0	336.484	0	0	TRUE	TRUE	FALSE	TRUE
miR-219-3p	19.3	7.58333333333333	0	0	0	0	0	0	0.95	0	0	FALSE	FALSE	FALSE	FALSE
miR-219-5p	241.2	27.1233333333333	0	0	0	0	0	0	69.414	0	1	TRUE	TRUE	FALSE	FALSE
miR-2279-3p	0	1.39666666666667	0	0.092	0	0	0	0.11	0.25	0	0	FALSE	FALSE	FALSE	FALSE
miR-2280-3p	0	0.186666666666667	0	0	0	0	0	0	0.07	0	0	FALSE	FALSE	FALSE	FALSE
miR-2280-5p	0	0.296666666666667	0	0	0	0	0	0	0.378	0	0	FALSE	FALSE	FALSE	FALSE
miR-2281-3p	0	0.0266666666666667	0	0	0	0	0	0	0	0	0	FALSE	FALSE	FALSE	FALSE
miR-2281-5p	0	0	0	0	0	0	0	0	0	0	0	FALSE	FALSE	FALSE	FALSE
miR-2282-3p	0	1.72666666666667	0	0.252	0	0	0.1475	0	0.328	0	0	FALSE	FALSE	FALSE	FALSE
miR-2283-3p	0	0.266666666666667	0	0	0	0	0	2.285	0.07	3.43	0	FALSE	FALSE	FALSE	FALSE
miR-2283-5p	0	0	0	0	0	0	0	0.18	0	0	0	FALSE	FALSE	FALSE	FALSE
miR-2489-3p	9.65	32.17	0	0	0	0.175	0	9.645	6.756	30.64	0	FALSE	FALSE	FALSE	FALSE
miR-2489-5p	0	0.216666666666667	0	0	0	0	0	0.11	0.132	0	0	FALSE	FALSE	FALSE	FALSE
miR-2490-3p	0	0.0466666666666667	0	0	0	0	0	0.18	0	0	0	FALSE	FALSE	FALSE	FALSE
miR-2490-5p	0	0.0566666666666667	0	0	0	0	0	0.4	0	0	0	FALSE	FALSE	FALSE	FALSE
miR-2491-3p	0	0	0	0	0	0	0	0	0	0	0	FALSE	FALSE	FALSE	FALSE
miR-2491-5p	0	0.413333333333333	0	0	0	0	0	0.18	0	0	0	FALSE	FALSE	FALSE	FALSE
miR-2492-3p	0	1.31666666666667	1.626	0.156	0	0.185	0.6875	0	0.032	0	0	FALSE	FALSE	FALSE	FALSE
miR-2492-5p	0	0.193333333333333	0	0	1.032	0	0.1025	0	0	0	0	FALSE	FALSE	FALSE	FALSE
miR-2493-3p	0	1.03666666666667	0	0	0	0	0	0.33	0.164	2.45	0	FALSE	FALSE	FALSE	FALSE
miR-2493-5p	0	0.146666666666667	0	0	0	0	0	0	0.032	0	0	FALSE	FALSE	FALSE	FALSE
miR-2494-3p	0	0.55	0	0	0	0	0	0	3.304	0	0	FALSE	FALSE	FALSE	FALSE
miR-2494-5p	0	0.02	0	0	0	0	0	0	0	0	0	FALSE	FALSE	FALSE	FALSE
miR-2495-3p	0	0	0	0	0	0	0	0	0	0	0	FALSE	FALSE	FALSE	FALSE
miR-2495-5p	0	0	0	0	0	0	0	0	0	0	0	FALSE	FALSE	FALSE	FALSE
miR-2496-3p	0	0.113333333333333	0	0	1.334	0	0	0	0	0	0	FALSE	FALSE	FALSE	FALSE
miR-2496-5p	0	1.30666666666667	0	0	0	0	0	0	0.208	0	0	FALSE	FALSE	FALSE	FALSE
miR-2497-3p	9.65	8.05	0	0	0	0	0	3.13	1.292	0.98	0	FALSE	FALSE	FALSE	FALSE
miR-2497-5p	0	2.34	0	0	0	0	0	2.275	0.516	2.21	0	FALSE	FALSE	FALSE	FALSE
miR-2498-3p	9.65	1.01666666666667	0	0	0	0.28	0.1475	0.11	5.116	0	0	FALSE	FALSE	FALSE	FALSE
miR-2498-5p	0	0.0466666666666667	0	0	0.688	0	0	0	0.244	0	0	FALSE	FALSE	FALSE	FALSE
miR-2499-3p	0	0	0	0	0	0	0	0	0.038	0	0	FALSE	FALSE	FALSE	FALSE
miR-2499-5p	0	0	0	0	0	0	0	0	0.108	0	0	FALSE	FALSE	FALSE	FALSE
miR-2500-3p	0	5.51333333333333	0	1.254	0.478	4.1575	6.255	1.775	1.188	2.94	0	FALSE	FALSE	FALSE	FALSE
miR-2501-3p	0	0.223333333333333	0	0	0	0	0	0	0.062	0	0	FALSE	FALSE	FALSE	FALSE
miR-2501-5p	9.65	1.46333333333333	0	0	0	0	0.2075	1.995	0.384	0.49	0	FALSE	FALSE	FALSE	FALSE
miR-252-3p	395.57	20.51	0	0	0	0	0	0	256.016	16.42	0	TRUE	TRUE	FALSE	TRUE
miR-252-5p	24718.52	4623.67	12.494	1.808	8.718	1.9475	0.28	6.31	12153.238	3574.1	1	TRUE	TRUE	TRUE	TRUE
miR-2535b-3p	0	42.8633333333333	29.292	6.338	9.63	15.51	0.77	2.825	76.782	1.23	0	FALSE	TRUE	FALSE	FALSE
miR-263a-3p	588.54	244.906666666667	0.606	7.666	0	0.8075	7.7025	0	226.302	3.19	0	TRUE	TRUE	TRUE	TRUE
miR-263a-5p	4003.98	5691.87333333333	1315.846	572.524	1515.392	1071.6025	542.3525	0.36	11451.462	187.25	1	TRUE	TRUE	TRUE	TRUE
miR-263b-3p	231.56	60.7266666666667	0	2.182	0	1.86	0	0	20.558	0	0	TRUE	TRUE	FALSE	FALSE
miR-263b-5p	1746.31	7099.15333333333	85.898	22.902	107.34	38.0275	11.0775	0.18	1000.944	0	1	TRUE	TRUE	TRUE	TRUE
miR-274-3p/961-3p	0	15.02	0	0	0	0	0	0	24.108	0	0	FALSE	TRUE	FALSE	FALSE
miR-274-5p	57.89	0.296666666666667	0	0	0	0	0	2.025	194.352	0	1	FALSE	TRUE	FALSE	TRUE
miR-275-3p/306-5p	1977.86	8211.25333333333	119921.624	30477.97	94167.71	28705.595	4734.155	3373.48	12828.006	3050.11	1	TRUE	TRUE	TRUE	TRUE
miR-275-5p	144.72	72.3966666666667	35.234	10.93	26.026	12.7125	11.31	91.285	1120.984	191.9	0	TRUE	TRUE	FALSE	TRUE
miR-276a-3p/276b-3p	47980.16	28038.5833333333	3561.098	1016.208	4558.162	2315.4925	610.6075	7130.71	80512.65	2849.38	1	TRUE	TRUE	TRUE	TRUE
miR-276a-5p/276b-5p	17289.44	433.693333333333	0	0.816	0	0	0.89	12550.12	34301.624	6355.12	0	TRUE	TRUE	TRUE	TRUE
miR-277-3p	7081.73	50.68	73.408	11.382	43.042	31.625	0.4	843.955	2593.022	875.94	1	TRUE	TRUE	FALSE	TRUE
miR-277-5p	1312.15	6.53333333333333	2.306	0	7.03	0	0	130.035	89.522	306.85	0	FALSE	TRUE	FALSE	FALSE
miR-278-3p	1505.11	50.4833333333333	19.496	2.094	36.106	6.2775	0.28	0.4	5843.882	0.25	1	TRUE	TRUE	FALSE	TRUE
miR-278-5p	106.13	88.7166666666667	7.286	1.676	21.09	9.01	1.8525	0.73	443.652	0.25	0	TRUE	TRUE	FALSE	TRUE
miR-279-3p/286-3p/996-3p	58467.68	63048.6566666667	60421.05	251391.768	204902.778	137892.025	143352.28	4886.91	20979.108	12234.74	1	TRUE	TRUE	TRUE	TRUE
miR-279-5p	106.13	72.9766666666667	0	0	0	0.185	0.1025	29.465	129.634	162.74	0	TRUE	TRUE	FALSE	TRUE
miR-280-5p	0	0	0	0	0	0	0	0	0	0	0	FALSE	FALSE	FALSE	FALSE
miR-281-1-5p	53.06	102	235.098	38.334	132.736	35.5325	12.3925	42.705	381.898	17.89	0	TRUE	TRUE	FALSE	TRUE
miR-281-2-5p	574.06	1394.95333333333	1464.66	256.224	1053.672	301.1525	97.885	21.76	4516.01	45.59	1	TRUE	TRUE	TRUE	TRUE
miR-281-3p	4003.98	453.666666666667	4135.832	1049.788	2887.836	1139.25	347.715	71.85	2767.116	74.5	1	TRUE	TRUE	TRUE	TRUE
miR-282-3p	202.61	143.803333333333	20.718	3.456	15.832	3.3375	0.84	401.43	11554.728	712.47	0	TRUE	TRUE	TRUE	TRUE
miR-282-5p	2961.98	3028.13	82.97	16.838	52.532	7.705	8.0525	6304.88	46589.612	3907.91	1	TRUE	TRUE	TRUE	TRUE
miR-283-3p	164.02	125.986666666667	1.254	4.524	10.888	2.0675	5.32	11.935	90.566	2.94	0	TRUE	TRUE	TRUE	FALSE
miR-283-5p	482.41	2131.99333333333	2240.42	700.252	1570.562	731.825	274.215	1954.19	809.944	70.83	1	TRUE	TRUE	TRUE	TRUE
miR-284-3p	472.76	6.03333333333333	0	0	0	1.86	0	0.58	1558.192	3.19	1	FALSE	TRUE	FALSE	TRUE
miR-284-5p/1005-3p	1022.7	16.5533333333333	56.16	10.812	60.244	26.605	1.44	9.18	887.44	16.18	0	TRUE	TRUE	FALSE	TRUE
miR-285-3p/995-3p/998-3p	5692.4	28618.3266666667	2268.736	435.728	1618.996	428.5875	138.7975	3907.335	11504.062	3367.99	1	TRUE	TRUE	TRUE	TRUE
miR-285-5p	0	2.25666666666667	0	0	0	0	0	0	59.108	0	0	FALSE	TRUE	FALSE	FALSE
miR-286-5p	549.94	611.453333333333	664.978	20329.746	3471.124	6919.8	6369.32	0.18	0.134	0	0	TRUE	FALSE	TRUE	FALSE
miR-287-3p	0	0	0	0	0	0	0	0	0	0	0	FALSE	FALSE	FALSE	FALSE
miR-288-3p	0	0	0	0	0	0	0	0	0	0	0	FALSE	FALSE	FALSE	FALSE
miR-289-5p/972-5p	0	0	1.758	0.092	1.376	0.18	0.6775	0	2.936	0	0	FALSE	FALSE	FALSE	FALSE
miR-2a-1-5p	289.44	321.183333333333	28.196	56.444	31.042	43.9425	129.755	49.715	208.092	131.37	0	TRUE	TRUE	TRUE	TRUE
miR-2a-2-5p	7303.64	566.946666666667	119.87	19.538	45.072	6.655	14.5275	163.55	1982.478	394.83	0	TRUE	TRUE	TRUE	TRUE
miR-2a-3p/2b-3p/2c-3p/5-3p/6-3p/11-3p/13a-3p/13b-3p/308-3p	114098.8	185703.466666667	64939.028	232794.816	85145.556	128446.7725	190286.6275	167671.85	69811.402	156422.72	1	TRUE	TRUE	TRUE	TRUE
miR-2b-1-5p/2b-2-5p	424.52	2397.14	463.988	164.102	373.356	125.9725	278.6375	211.02	613.204	443.37	0	TRUE	TRUE	TRUE	TRUE
miR-2c-5p/4951-3p	385.93	38.7266666666667	8.362	27.43	49.102	128.31	203.9675	0	44.886	0	0	TRUE	TRUE	FALSE	FALSE
miR-3-3p/309-3p/318-3p	1736.67	23613.0166666667	1022.552	15498.304	3777.024	1965.315	12949.245	15.965	135.552	223.27	1	TRUE	TRUE	TRUE	TRUE
miR-3-5p	67.54	4.33666666666667	0	5.414	0	0	0.6225	0	0	0.25	0	FALSE	FALSE	FALSE	FALSE
miR-303-3p	19.3	0.0566666666666667	0	0.092	0	0	0	0.11	0.69	0	0	FALSE	FALSE	FALSE	FALSE
miR-303-5p	9.65	0.54	0	0	0	0	0	2.92	24.666	0.25	0	FALSE	TRUE	FALSE	FALSE
miR-304-3p	9.65	786.016666666667	0	0	0	0	0	367.24	197.378	31.37	0	FALSE	TRUE	FALSE	TRUE
miR-304-5p	385.93	1295.91333333333	22.258	3.738	5.396	4.5225	0.8575	395.45	1672.614	31.37	1	TRUE	TRUE	TRUE	TRUE
miR-305-3p	385.93	279.27	3618.308	1005.782	3010.55	1414.7775	372.025	246.525	2389.432	266.41	0	TRUE	TRUE	TRUE	TRUE
miR-305-5p	2074.35	328.88	1048.974	406.77	625.482	216.7275	96.9075	1795.24	12760.8	1018.83	1	TRUE	TRUE	TRUE	TRUE
miR-306-3p	202.61	51.3233333333333	1.104	0.528	3.514	0.0875	0.1475	14.655	273.344	7.11	0	TRUE	TRUE	FALSE	TRUE
miR-307a-3p	1138.48	8.24666666666667	0	0	0	0	0	46.06	2597.19	435.27	1	FALSE	TRUE	FALSE	TRUE
miR-307a-5p	164.02	1.39	0	0	0	0	0	0.18	112.908	3.68	0	FALSE	TRUE	FALSE	TRUE
miR-307b-3p	0	0.223333333333333	0	0	0	0	0	0.36	6.002	0	0	FALSE	FALSE	FALSE	FALSE
miR-307b-5p	0	0.0733333333333333	0	0	0	0	0	0.29	0	0	0	FALSE	FALSE	FALSE	FALSE
miR-308-5p	260.5	29.5433333333333	3.984	0.866	10.53	0	0.1475	781.18	321.91	955.84	0	TRUE	TRUE	FALSE	TRUE
miR-309-5p	77.19	119.596666666667	4.678	63.454	8.514	1.2775	16.03	0	2.966	0	0	TRUE	FALSE	FALSE	FALSE
miR-310-5p	0	5.56666666666667	58.41	21.882	44.278	24.3775	4.7775	0	0.45	0	0	FALSE	FALSE	FALSE	FALSE
miR-311-5p	28.94	74.9333333333333	783.708	228.852	610.344	433.1225	101.14	0	59.542	0	0	TRUE	TRUE	FALSE	FALSE
miR-312-5p	347.33	40.03	1705.056	344.41	1174.354	298.5325	91.7225	0	12.532	0	0	TRUE	TRUE	FALSE	FALSE
miR-313-5p	906.92	154.523333333333	434.824	109.59	349.606	72.57	30.15	0	12.304	0.49	0	TRUE	TRUE	TRUE	FALSE
miR-314-3p	1582.29	1573.05	1.314	0.156	0	0	0	0.4	37661.93	0	1	TRUE	TRUE	TRUE	TRUE
miR-314-5p	115.78	6.27333333333333	13.878	0.376	0	3.72	0	0	130.924	0	0	FALSE	TRUE	FALSE	TRUE
miR-315-3p	38.59	74.37	0	0.126	0	0	0	0	11.664	0.25	0	TRUE	TRUE	FALSE	FALSE
miR-315-5p	2122.59	8702.91666666667	22.084	11.582	32.212	16.165	7.875	11.45	2180.9	1.47	1	TRUE	TRUE	TRUE	TRUE
miR-316-3p	347.33	285.933333333333	0.57	1.302	28.12	3.72	0.1025	0	170.708	0	0	TRUE	TRUE	TRUE	TRUE
miR-316-5p	3222.48	4994.38	0	0.344	0	7.4425	0.4125	0	3585.172	0	1	TRUE	TRUE	TRUE	TRUE
miR-317-3p/4943-3p	906.92	99.4266666666667	1.708	0.276	0	0	0	1560.39	10190.568	1062.2	1	TRUE	TRUE	FALSE	TRUE
miR-317-5p	356.98	16.3333333333333	0	0	0	0	0	81.435	400.91	87.5	0	TRUE	TRUE	FALSE	TRUE
miR-318-5p	0	0	0	0	0	0	0	0	0	0	0	FALSE	FALSE	FALSE	FALSE
miR-31a-3p/31b-3p	781.5	788.766666666667	0	0	0	0.0875	0.5925	1.665	672.172	0.25	0	TRUE	TRUE	TRUE	TRUE
miR-31a-5p/31b-5p	7998.3	27447.3	3844.426	910.034	3338.51	1148.3325	394.8275	254.94	18002.066	4.66	1	TRUE	TRUE	TRUE	TRUE
miR-33-3p	86.83	26.1633333333333	22.31	2.312	1.72	0.175	0.6675	251.455	52.236	224.5	0	TRUE	TRUE	FALSE	FALSE
miR-33-5p	260.5	1580.87666666667	1263.658	462.4	704.4	207.4625	70.0925	8499.74	4941.87	7175.41	1	TRUE	TRUE	TRUE	TRUE
miR-34-3p	993.76	178.073333333333	0	0	0	0	0	130.605	1916.124	414.44	0	TRUE	TRUE	TRUE	TRUE
miR-34-5p	2624.29	156.463333333333	3.842	0.34	22.012	1.86	0	1511.55	8231.776	13247.19	1	TRUE	TRUE	TRUE	TRUE
miR-3641-3p	0	0.28	1.626	0.092	0	0	0.1475	1.405	4.27	0	0	FALSE	FALSE	FALSE	FALSE
miR-3641-5p	0	0.25	0	0.126	0	0.0925	0	4.44	0.68	0.74	0	FALSE	FALSE	FALSE	FALSE
miR-3642-3p	0	0.0366666666666667	5.454	0	0	0.455	0.7975	0	0.032	0.25	0	FALSE	FALSE	FALSE	FALSE
miR-3642-5p	0	0.403333333333333	0	0	0	0	0	0	0.038	0	0	FALSE	FALSE	FALSE	FALSE
miR-3643-3p	0	0.13	0	0	0	0	0	0.36	0.038	0	0	FALSE	FALSE	FALSE	FALSE
miR-3643-5p	0	0.0266666666666667	0	0	0	0	0	0.11	0	0	0	FALSE	FALSE	FALSE	FALSE
miR-3644-3p	0	0.6	0	0	0	0	0	0	0.064	0	0	FALSE	FALSE	FALSE	FALSE
miR-3644-5p/4914-5p	0	0.0566666666666667	2.21	0.126	0	0.175	0.2925	0.18	0	0	0	FALSE	FALSE	FALSE	FALSE
miR-3645-3p	0	0.486666666666667	0	0	0	0	0	0.18	0.668	1.23	0	FALSE	FALSE	FALSE	FALSE
miR-3645-5p	0	0.0366666666666667	0	0.092	0	0	0	0	0	0.25	0	FALSE	FALSE	FALSE	FALSE
miR-375-3p	1919.98	6430.39	69.866	2.924	11.076	9.655	0.625	0.11	18697.752	0	1	TRUE	TRUE	TRUE	TRUE
miR-375-5p	154.37	69.59	1.116	0.314	0	0	0	0	23.01	0	0	TRUE	TRUE	FALSE	FALSE
miR-4-3p	2720.77	24671.77	1949.816	35228.422	7629.572	10585.9625	15038.9825	2.015	51.918	2.21	1	TRUE	TRUE	TRUE	FALSE
miR-4-5p	492.05	1142.52	20.348	805.95	155.658	264.1325	777.8275	0	19.558	0	0	TRUE	TRUE	TRUE	FALSE
miR-4908-3p	0	0	0	0	0	0	0	0	0	0	0	FALSE	FALSE	FALSE	FALSE
miR-4909-3p	0	0.81	0	0.56	3.104	2.2575	0.7325	0.11	0.77	0	0	FALSE	FALSE	FALSE	FALSE
miR-4910-5p	0	1.53	0.662	0.558	0	0.0925	1.1375	14.49	0.306	0.98	0	FALSE	FALSE	FALSE	FALSE
miR-4911-3p	0	2.19666666666667	0	0	0	0	0	0	0.27	0	0	FALSE	FALSE	FALSE	FALSE
miR-4912-5p	0	0	1.012	2.332	0.478	0	0.1475	0	0	0	0	FALSE	FALSE	FALSE	FALSE
miR-4913-3p	0	0.4	0	0	0	0	0	1.405	0.264	0.74	0	FALSE	FALSE	FALSE	FALSE
miR-4915-5p	0	0.606666666666667	0	0.184	0.238	0	0	0.22	0.064	0	0	FALSE	FALSE	FALSE	FALSE
miR-4916-3p	0	0.13	0	0	0	0	0	0	0	0	0	FALSE	FALSE	FALSE	FALSE
miR-4917-3p	0	2.30666666666667	12.622	10.736	30.028	10.225	2.9975	0	0	0	0	FALSE	FALSE	FALSE	FALSE
miR-4918-5p	9.65	0.0266666666666667	0	0	0	0	0	0.4	0	0	0	FALSE	FALSE	FALSE	FALSE
miR-4919-3p	0	4.48666666666667	0	0	0	0	0	2.785	7.48	0.25	0	FALSE	FALSE	FALSE	FALSE
miR-4919-5p	19.3	0.173333333333333	0	0	0	0	0	2.385	0	0	0	FALSE	FALSE	FALSE	FALSE
miR-4939-3p	0	0	0	0	0	0	0	0	0	0	0	FALSE	FALSE	FALSE	FALSE
miR-4940-3p	0	0.166666666666667	0	0	0	0	0	0	0.07	0	0	FALSE	FALSE	FALSE	FALSE
miR-4940-5p	0	0	0	0	0	0	0	0	0.038	0	0	FALSE	FALSE	FALSE	FALSE
miR-4941-3p	0	0.0833333333333333	0	0	0	0	0	0	0	0	0	FALSE	FALSE	FALSE	FALSE
miR-4941-5p	0	3.07666666666667	0	0.282	0	0.315	0.2475	0	0.032	0.25	0	FALSE	FALSE	FALSE	FALSE
miR-4942-3p	0	1.2	0	0	0	0	0	0.11	0.458	0.25	0	FALSE	FALSE	FALSE	FALSE
miR-4943-5p	0	0.0266666666666667	0	0	0	0	0	0.4	0.032	0.49	0	FALSE	FALSE	FALSE	FALSE
miR-4944-3p	0	0.0633333333333333	0	0	0	0.3475	0	0	0.07	0	0	FALSE	FALSE	FALSE	FALSE
miR-4944-5p	0	1.21333333333333	0	0.092	0	1.365	0.62	0	0.234	0	0	FALSE	FALSE	FALSE	FALSE
miR-4945-5p	0	0	0	0	0	0	0	0	0.402	0	0	FALSE	FALSE	FALSE	FALSE
